Id,Lat,Lon,Magnitud,Number of Stops,Number of Stations,List of Stations,List of Stops,Type,Category,Name,URL
65,45.51409972886439,-73.68338222791925,22,21,1,['65'],"['60290', '61654', '60292', '60807', '55639', '55650', '55641', '55640', '55890', '60293', '55901', '55945', '60289', '60288', '60295', '61798', '60383', '61323', '55829', '61819', '60296']",Hub,Medium,Station Côte-Vertu,"http://maps.google.com/maps?q=&layer=c&cbll=45.51409972886439,-73.68338222791925"
18,45.59684465031551,-73.53539446876474,17,16,1,['18'],"['53253', '53275', '54257', '53252', '53251', '53755', '53756', '54237', '53876', '53725', '54115', '53724', '53754', '61814', '54119', '54008']",Hub,Medium,Station Honoré-Beaugrand,"http://maps.google.com/maps?q=&layer=c&cbll=45.59684465031551,-73.53539446876474"
36,45.4829424043556,-73.57999013472364,15,14,1,['36'],"['61868', '61561', '61328', '54181', '52193', '61333', '61867', '61869', '61335', '61330', '61329', '61331', '61332', '61334']",Hub,Medium,Station Lionel-Groulx,"http://maps.google.com/maps?q=&layer=c&cbll=45.4829424043556,-73.57999013472364"
3,45.545875644099624,-73.63851307034403,14,13,1,['3'],"['50769', '50794', '50756', '50793', '50768', '50758', '60250', '54205', '50767', '50792', '50760', '54206', '50770']",Hub,Medium,Station Crémazie,"http://maps.google.com/maps?q=&layer=c&cbll=45.545875644099624,-73.63851307034403"
43,45.44649000392091,-73.60360884734833,13,12,1,['43'],"['54105', '61660', '54111', '54108', '54112', '54110', '51611', '54106', '54107', '54109', '61263', '61662']",Hub,Medium,Station Angrignon,"http://maps.google.com/maps?q=&layer=c&cbll=45.44649000392091,-73.60360884734833"
97,45.539167501341836,-73.61378175389856,12,11,1,['97'],"['51331', '51310', '51312', '51322', '51311', '51330', '54095', '54212', '54211', '54172', '54171']",Hub,Medium,Station Jean-Talon 2,"http://maps.google.com/maps?q=&layer=c&cbll=45.539167501341836,-73.61378175389856"
1,45.555484334308986,-73.66758792041234,12,11,1,['1'],"['54127', '53827', '50305', '50304', '50313', '60367', '50303', '50307', '50306', '53793', '54114']",Hub,Medium,Station Henri-Bourassa,"http://maps.google.com/maps?q=&layer=c&cbll=45.555484334308986,-73.66758792041234"
19,45.589567820111924,-73.53948091264063,11,10,1,['19'],"['61230', '53207', '53206', '59034', '53184', '53198', '54080', '53196', '60236', '59312']",Hub,Medium,Station Radisson,"http://maps.google.com/maps?q=&layer=c&cbll=45.589567820111924,-73.53948091264063"
9,45.524671911129815,-73.5821977338382,11,10,1,['9'],"['52057', '52083', '52100', '61802', '52055', '52054', '52056', '52084', '58725', '61665']",Hub,Medium,Station Mont-Royal,"http://maps.google.com/maps?q=&layer=c&cbll=45.524671911129815,-73.5821977338382"
8,45.52680263760497,-73.58692681971407,11,10,1,['8'],"['51965', '51973', '60366', '51918', '54167', '51919', '51974', '51948', '54069', '61719']",Hub,Medium,Station Laurier,"http://maps.google.com/maps?q=&layer=c&cbll=45.52680263760497,-73.58692681971407"
7,45.53126381898576,-73.59768290919607,11,10,1,['7'],"['51660', '61653', '51646', '51672', '51649', '54179', '54168', '51648', '51661', '51647']",Hub,Medium,Station Rosemont,"http://maps.google.com/maps?q=&layer=c&cbll=45.53126381898576,-73.59768290919607"
2,45.550883183235285,-73.65590436533168,11,10,1,['2'],"['50441', '54037', '54269', '50437', '50438', '50443', '50442', '50439', '50440', '54088']",Hub,Medium,Station Sauvé,"http://maps.google.com/maps?q=&layer=c&cbll=45.550883183235285,-73.65590436533168"
31,45.50814090155417,-73.56879150496812,10,9,1,['31'],"['52553', '52533', '52517', '61042', '52534', '61108', '61049', '52540', '52516']",Hub,Medium,Station Place-des-Arts,"http://maps.google.com/maps?q=&layer=c&cbll=45.50814090155417,-73.56879150496812"
28,45.52365360260344,-73.55249920100738,10,9,1,['28'],"['53051', '53047', '54188', '53009', '53002', '53022', '54117', '54043', '53970']",Hub,Medium,Station Papineau,"http://maps.google.com/maps?q=&layer=c&cbll=45.52365360260344,-73.55249920100738"
47,45.474069201067074,-73.6038178020432,10,9,1,['47'],"['53763', '53935', '51594', '53764', '53936', '53796', '51558', '53797', '54104']",Hub,Medium,Station Vendôme,"http://maps.google.com/maps?q=&layer=c&cbll=45.474069201067074,-73.6038178020432"
15,45.49787810495837,-73.56743359678153,10,9,1,['15'],"['53696', '52618', '52617', '54356', '52550', '52556', '52619', '61809', '60714']",Hub,Medium,Station Bonaventure,"http://maps.google.com/maps?q=&layer=c&cbll=45.49787810495837,-73.56743359678153"
99,45.51525790294807,-73.56088929828006,10,9,1,['99'],"['52814', '52792', '52761', '61153', '52791', '52793', '52844', '52846', '61611']",Hub,Medium,Station Berri-UQAM 2,"http://maps.google.com/maps?q=&layer=c&cbll=45.51525790294807,-73.56088929828006"
64,45.559624702489316,-73.59975119549193,10,9,1,['64'],"['60771', '51631', '51570', '51606', '51605', '51632', '54184', '54294', '61113']",Hub,Medium,Station Saint-Michel,"http://maps.google.com/maps?q=&layer=c&cbll=45.559624702489316,-73.59975119549193"
57797,45.46574107215445,-73.83136378462022,14,14,0,[],"['57795', '57815', '57794', '57809', '57798', '57799', '57821', '57800', '60415', '60888', '57827', '57823', '57822', '57797']",Cluster,Large,Terminus Fairview - Brunswick - Auto Plaza,"http://maps.google.com/maps?q=&layer=c&cbll=45.46574107215445,-73.83136378462022"
34,45.495412893012485,-73.57930577612393,9,8,1,['34'],"['52237', '52202', '52146', '52236', '61832', '52201', '52195', '60999']",Hub,Medium,Station Guy-Concordia,"http://maps.google.com/maps?q=&layer=c&cbll=45.495412893012485,-73.57930577612393"
27,45.53328044547352,-73.55202300161118,9,8,1,['27'],"['53014', '54040', '54038', '53015', '53028', '53007', '54039', '53016']",Hub,Medium,Station Frontenac,"http://maps.google.com/maps?q=&layer=c&cbll=45.53328044547352,-73.55202300161118"
52,45.49491944659044,-73.65298544420831,9,8,1,['52'],"['50506', '50510', '50508', '50507', '54195', '54262', '50509', '61818']",Hub,Medium,Station Namur,"http://maps.google.com/maps?q=&layer=c&cbll=45.49491944659044,-73.65298544420831"
57505,45.44844333444313,-73.74319511087016,9,9,0,[],"['57537', '57540', '57507', '57504', '57365', '57506', '57538', '57539', '57505']",Cluster,Large,Terminus Dorval,"http://maps.google.com/maps?q=&layer=c&cbll=45.44844333444313,-73.74319511087016"
39,45.46227625148135,-73.56685937796094,8,7,1,['39'],"['56690', '56630', '61564', '56631', '56636', '56635', '56632']",Hub,Medium,Station De l'Église,"http://maps.google.com/maps?q=&layer=c&cbll=45.46227625148135,-73.56685937796094"
20,45.582763250760806,-73.54299049997022,8,7,1,['20'],"['54174', '53153', '53150', '53149', '53152', '53151', '60440']",Hub,Medium,Station Langelier,"http://maps.google.com/maps?q=&layer=c&cbll=45.582763250760806,-73.54299049997022"
10,45.51895562612731,-73.568623874248,8,7,1,['10'],"['52508', '52532', '52531', '52559', '52506', '52507', '52560']",Hub,Medium,Station Sherbrooke,"http://maps.google.com/maps?q=&layer=c&cbll=45.51895562612731,-73.568623874248"
6,45.535083501828325,-73.6044132547816,8,7,1,['6'],"['53851', '51551', '51522', '51509', '51533', '51508', '54014']",Hub,Medium,Station Beaubien,"http://maps.google.com/maps?q=&layer=c&cbll=45.535083501828325,-73.6044132547816"
42,45.45125600280841,-73.59277143088326,7,6,1,['42'],"['53858', '53859', '53857', '51876', '53860', '53856']",Hub,Medium,Station Monk,"http://maps.google.com/maps?q=&layer=c&cbll=45.45125600280841,-73.59277143088326"
38,45.47074728717487,-73.5667377148157,7,6,1,['38'],"['61651', '56707', '56697', '61207', '56687', '56688']",Hub,Medium,Station LaSalle,"http://maps.google.com/maps?q=&layer=c&cbll=45.47074728717487,-73.5667377148157"
25,45.5466795720539,-73.55144157229704,7,6,1,['25'],"['53021', '53035', '53036', '53037', '53038', '60844']",Hub,Medium,Station Joliette,"http://maps.google.com/maps?q=&layer=c&cbll=45.5466795720539,-73.55144157229704"
21,45.57694285789267,-73.54662485781628,7,6,1,['21'],"['53098', '53100', '61692', '53099', '53103', '53102']",Hub,Medium,Station Cadillac,"http://maps.google.com/maps?q=&layer=c&cbll=45.57694285789267,-73.54662485781628"
54,45.509413857961526,-73.6748042882353,7,6,1,['54'],"['55703', '55706', '60848', '55714', '55704', '55705']",Hub,Medium,Station Du Collège,"http://maps.google.com/maps?q=&layer=c&cbll=45.509413857961526,-73.6748042882353"
4,45.54292314332191,-73.62898000182975,7,6,1,['4'],"['50979', '50981', '50982', '50990', '50989', '50980']",Hub,Medium,Station Jarry,"http://maps.google.com/maps?q=&layer=c&cbll=45.54292314332191,-73.62898000182975"
55,45.49670600464343,-73.62319242119791,7,6,1,['55'],"['51157', '51188', '51155', '51102', '51156', '51187']",Hub,Medium,Station Côte-des-Neiges,"http://maps.google.com/maps?q=&layer=c&cbll=45.49670600464343,-73.62319242119791"
62,45.54713614439856,-73.60783372015966,7,6,1,['62'],"['51452', '51436', '51453', '51454', '51435', '51412']",Hub,Medium,Station Fabre,"http://maps.google.com/maps?q=&layer=c&cbll=45.54713614439856,-73.60783372015966"
55333,45.58391937691212,-73.65016074594602,8,8,0,[],"['60505', '50513', '55335', '50515', '50514', '55037', '61240', '55333']",Cluster,Large,Saint-Michel - Henri-Bourassa - Monselet - Gouin,"http://maps.google.com/maps?q=&layer=c&cbll=45.58391937691212,-73.65016074594602"
60663,45.51158000081069,-73.57801700012662,7,7,0,[],"['60664', '52218', '52219', '60682', '52250', '60681', '60663']",Cluster,Large,du Parc - des Pins - Léo-Pariseau,"http://maps.google.com/maps?q=&layer=c&cbll=45.51158000081069,-73.57801700012662"
51880,45.51649416870503,-73.58958000400871,12,12,0,[],"['51882', '51883', '51881', '56216', '51884', '54079', '54159', '54010', '51879', '56217', '61663', '51880']",Cluster,Large,du Mont-Royal - du Parc - Côte-Sainte-Catherine - Jeanne-Mance,"http://maps.google.com/maps?q=&layer=c&cbll=45.51649416870503,-73.58958000400871"
60870,45.42513557192789,-73.64830114354197,7,7,0,[],"['56771', '60869', '60874', '60875', '60876', '56759', '60870']",Cluster,Large,Terminus Lafleur - Newman,"http://maps.google.com/maps?q=&layer=c&cbll=45.42513557192789,-73.64830114354197"
55922,45.508452571849695,-73.67258942956143,7,7,0,[],"['55840', '55717', '60257', '55723', '55841', '55921', '55922']",Cluster,Large,Station du Collège,"http://maps.google.com/maps?q=&layer=c&cbll=45.508452571849695,-73.67258942956143"
58031,45.50993600050157,-73.81214914205725,7,7,0,[],"['58032', '58030', '58033', '58328', '60843', '58021', '58031']",Cluster,Large,Gare Roxboro-Pierrefonds,"http://maps.google.com/maps?q=&layer=c&cbll=45.50993600050157,-73.81214914205725"
37,45.47810616808426,-73.56907816475693,6,5,1,['37'],"['53699', '54018', '52547', '53986', '52599']",Hub,Medium,Station Charlevoix,"http://maps.google.com/maps?q=&layer=c&cbll=45.47810616808426,-73.56907816475693"
35,45.4899428371819,-73.58515449657779,6,5,1,['35'],"['54034', '56300', '52007', '56301', '51990']",Hub,Medium,Station Atwater,"http://maps.google.com/maps?q=&layer=c&cbll=45.4899428371819,-73.58515449657779"
24,45.553533334152604,-73.55206766726324,6,5,1,['24'],"['53020', '54096', '53019', '53018', '53017']",Hub,Medium,Station Pie-IX,"http://maps.google.com/maps?q=&layer=c&cbll=45.553533334152604,-73.55206766726324"
