['43', '42']
['42', '41']
['41', '40']
['40', '39']
['39', '38']
['38', '37']
['37', '36']
['36', '35']
['35', '34']
['34', '33']
['33', '32']
['32', '31']
['31', '30']
['30', '99']
['99', '29']
['29', '28']
['28', '27']
['27', '26']
['26', '25']
['25', '24']
['24', '23']
['23', '22']
['22', '21']
['21', '20']
['20', '19']
['19', '18']
['65', '54']
['54', '53']
['53', '52']
['52', '51']
['51', '50']
['50', '98']
['98', '48']
['48', '47']
['47', '46']
['46', '36']
['36', '17']
['17', '16']
['16', '15']
['15', '14']
['14', '13']
['13', '12']
['12', '99']
['99', '10']
['10', '9']
['9', '8']
['8', '7']
['7', '6']
['6', '97']
['97', '4']
['4', '3']
['3', '2']
['2', '1']
['1', '66']
['66', '67']
['67', '68']
['44', '45']
['45', '99']
['98', '55']
['55', '56']
['56', '57']
['57', '58']
['58', '59']
['59', '60']
['60', '61']
['61', '97']
['97', '62']
['62', '63']
['63', '64']
['28', '53045']
['53045', '53010']
['53010', '52895']
['52895', '52813']
['52813', '52718']
['52718', '52637']
['52637', '52525']
['52525', '52456']
['52456', '52380']
['52380', '52267']
['52267', '52182']
['52182', '52182']
['52182', '52087']
['52087', '51953']
['51953', '51858']
['51858', '51824']
['51824', '51738']
['51738', '51651']
['51651', '51579']
['51579', '51497']
['51497', '54320']
['54320', '51351']
['51351', '51308']
['51308', '51260']
['51260', '51260']
['53833', '53741']
['53741', '53742']
['53742', '53971']
['53971', '53972']
['53972', '53972']
['53972', '51428']
['51428', '51487']
['51487', '51544']
['51544', '53992']
['53992', '54351']
['54351', '61755']
['61755', '53747']
['53747', '51880']
['51880', '51880']
['51880', '51939']
['51939', '51966']
['51966', '52006']
['52006', '52036']
['52036', '9']
['9', '9']
['9', '52138']
['52138', '52247']
['60699', '60693']
['60693', '60694']
['60694', '56654']
['56654', '56656']
['56656', '56663']
['56663', '56661']
['56661', '56657']
['56657', '56721']
['56721', '56698']
['56698', '56681']
['56681', '56679']
['56679', '56677']
['56677', '56675']
['56675', '56673']
['56673', '56671']
['56671', '56652']
['56652', '60196']
['60196', '56683']
['56683', '56496']
['56496', '56711']
['56711', '56702']
['56702', '60748']
['60748', '61562']
['61562', '61563']
['61563', '61571']
['61571', '61572']
['61572', '56710']
['56710', '39']
['7', '51685']
['51685', '51729']
['51729', '51644']
['51644', '51583']
['51583', '51506']
