StopCode,StopCode,location,stop_id,stop_name,stop_code,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,HarmCen,CatHarmCen,Clossnes,CatClossnes,BetCen
1.111,1.111,"(425309.7919977078, 4577405.036266687)",1.111,Hospital de Bellvitge,111,,41.344677,2.107242,,,0,P.6660111,,1,,,3.961653797587,2,1.223628691983,1,0.0
1.112,1.112,"(425624.4223956904, 4578101.068806397)",1.112,Bellvitge,112,,41.350975,2.110917,,,0,P.6660112,,1,,,4.927171038966,3,1.307809535658,1,225.751834233653
1.113,1.113,"(424940.0462070365, 4578949.503093621)",1.113,Av. Carrilet,113,,41.358553,2.102632,,,0,P.6660113,,1,,,5.391456753252,4,1.397056380611,1,435.378537450617
1.114,1.114,"(424705.2792997916, 4579566.710950628)",1.114,Rambla Just Oliveras,114,,41.36409,2.099749,,,0,P.6660114,,1,,,5.687753049548,4,1.49097613729,2,628.880109650891
1.115,1.115,"(424961.08820674696, 4579964.211942227)",1.115,Can Serra,115,,41.367694,2.102758,,,0,P.6660115,,1,,,5.899291511087,4,1.588890988097,2,806.256550834476
1.116,1.116,"(425569.7306865116, 4580026.998564851)",1.116,Florida,116,,41.368316,2.110027,,,0,P.6660116,,1,,,6.059291511087,5,1.689772955596,2,967.507861001371
1.117,1.117,"(426119.03850226186, 4580030.262287229)",1.117,Torrassa,117,,41.368396,2.116594,,,0,P.6660117,,1,,,6.184291511087,5,1.792183437753,3,1112.634040151576
1.118,1.118,"(427125.02410639037, 4580066.71271275)",1.118,Santa Eulàlia,118,,41.368816,2.128617,,,0,P.6660118,,1,,,6.283670393074,5,1.894229469796,3,1241.635088285092
1.119,1.119,"(427541.0573600251, 4580527.422651076)",1.119,Mercat Nou,119,,41.373003,2.133536,,,0,P.6660119,,1,,,6.36321584762,5,1.993552363343,3,1354.511005401919
1.120,1.120,"(427929.84020548355, 4580784.465602831)",1.120,Plaça de Sants,120,,41.375353,2.138154,,,0,P.6660120,,2,,,6.426707911112,5,2.087366592207,4,1451.261791502056
1.121,1.121,"(428359.3071105789, 4580769.216083669)",1.121,Hostafrancs,121,,41.375254,2.143291,,,0,P.6660121,,1,,,6.476707911112,5,2.172565228623,4,1531.887446585504
1.122,1.122,"(428868.93936255306, 4580792.620177407)",1.122,Espanya,122,,41.37551,2.149382,,,0,P.6660122,,2,,,6.514985423074,5,2.245900763766,4,1596.387970652261
1.123,1.123,"(429306.1401580053, 4581201.592292961)",1.123,Rocafort,123,,41.379232,2.154562,,,0,P.6660123,,1,,,6.542763200851,5,2.30423584854,4,1644.76336370233
1.124,1.124,"(429671.6330531317, 4581559.43507545)",1.124,Urgell,124,,41.382487,2.158891,,,0,P.6660124,,1,,,6.560862748363,5,2.344839123404,4,1677.013625735709
1.125,1.125,"(430126.1296836884, 4581924.541909243)",1.125,Universitat,125,,41.385815,2.164284,,,0,P.6660125,,1,,,6.569791319791,5,2.365682137834,4,1693.138756752398
1.126,1.126,"(430521.80018386466, 4582106.5989071475)",1.126,Catalunya,126,,41.387489,2.168995,,,0,P.6660126,,1,,,6.569791319791,5,2.365682137834,4,1693.138756752398
1.127,1.127,"(430989.9354847098, 4582340.502991833)",1.127,Urquinaona,127,,41.389636,2.174567,,,0,P.6660127,,2,,,6.560862748363,5,2.344839123404,4,1677.013625735709
1.128,1.128,"(431544.3976921107, 4582635.130189767)",1.128,Arc de Triomf,128,,41.392337,2.181165,,,0,P.6660128,,1,,,6.542763200851,5,2.30423584854,4,1644.76336370233
1.129,1.129,"(431934.4675263261, 4582896.590085531)",1.129,Marina,129,,41.394725,2.185801,,,0,P.6660129,,1,,,6.514985423074,5,2.245900763766,4,1596.387970652261
1.130,1.130,"(432087.457676981, 4583733.640338846)",1.130,Glòries,130,,41.402277,2.187537,,,0,P.6660130,,1,,,6.476707911112,5,2.172565228623,4,1531.887446585504
1.131,1.131,"(432051.0379618093, 4584609.553083371)",1.131,Clot,131,,41.410163,2.187003,,,0,P.6660131,,2,,,6.426707911112,5,2.087366592207,4,1451.261791502056
1.132,1.132,"(432061.82846482494, 4585278.288555624)",1.132,Navas,132,,41.416187,2.187057,,,0,P.6660132,,1,,,6.36321584762,5,1.993552363343,3,1354.511005401919
1.133,1.133,"(432061.418922701, 4585964.672420949)",1.133,La Sagrera,133,,41.422369,2.186975,,,0,P.6660133,,1,,,6.283670393074,5,1.894229469796,3,1241.635088285092
1.134,1.134,"(431792.09262780583, 4586773.720867028)",1.134,Fabra i Puig,134,,41.429633,2.183661,,,0,P.6660134,,1,,,6.184291511087,5,1.792183437753,3,1112.634040151576
1.135,1.135,"(432428.1467567715, 4587541.2905390635)",1.135,Sant Andreu,135,,41.4366,2.191187,,,0,P.6660135,,1,,,6.059291511087,5,1.689772955596,2,967.507861001371
1.136,1.136,"(432391.91391789174, 4588277.196895956)",1.136,Torras i Bages,136,,41.443225,2.190671,,,0,P.6660136,,1,,,5.899291511087,4,1.588890988097,2,806.256550834476
1.137,1.137,"(432662.3170037443, 4588910.981628243)",1.137,Trinitat Vella,137,,41.448956,2.193837,,,0,P.6660137,,1,,,5.687753049548,4,1.49097613729,2,628.880109650891
1.138,1.138,"(433141.6120202854, 4589015.341618854)",1.138,Baró de Viver,138,,41.449936,2.199563,,,0,P.6660138,,1,,,5.391456753252,4,1.397056380611,1,435.378537450617
1.139,1.139,"(433844.89772155636, 4589134.445148573)",1.139,Santa Coloma,139,,41.451067,2.207969,,,0,P.6660139,,1,,,4.927171038966,3,1.307809535658,1,225.751834233653
1.140,1.140,"(434719.60397896584, 4589183.783940541)",1.140,Fondo,140,,41.451583,2.218435,,,0,P.6660140,,1,,,3.961653797587,2,1.223628691983,1,0.0
1.210,1.210,"(430518.7118743003, 4580720.436937438)",1.210,Paral·lel,210,,41.375004,2.169117,,,0,P.6660210,,1,,,3.439552522641,2,1.195499296765,1,0.0
1.211,1.211,"(430032.51186499745, 4581261.2713299375)",1.211,Sant Antoni,211,,41.379833,2.163241,,,0,P.6660211,,1,,,4.380728993229,3,1.335119652592,1,129.001048133516
1.212,1.212,"(430093.98879088456, 4581808.604805817)",1.212,Universitat,212,,41.384768,2.163913,,,0,P.6660125,,1,,,4.818228993229,3,1.487084491098,2,241.876965250343
1.213,1.213,"(430460.9802964957, 4582321.134762881)",1.213,Passeig de Gràcia,213,,41.389416,2.168243,,,0,P.6660213,,1,,,5.084895659896,3,1.647850382028,2,338.62775135048
