StopCode,StopCode,location,stop_id,stop_name,stop_code,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,HarmCen,CatHarmCen,Clossnes,CatClossnes,BetCen
53051,53051,"(613106.792630652, 5042150.013985396)",53051,Station Papineau (Dorion / Sainte-Catherine),53051,,45.523703,-73.551656,,http://m.stm.info/fr/horaires/arrets/53051/bus,0,,,1,,,198.313042811269,4,2.024606276414,4,244.495928929246
53045,53045,"(613110.8077788276, 5042347.458878286)",53045,De Lorimier / De Maisonneuve,53045,,45.525479,-73.551559,,http://m.stm.info/fr/horaires/arrets/53045/bus,0,,,1,,,238.758256389464,5,2.366115352231,5,1228.221400458953
53010,53010,"(612966.3514979408, 5042439.539533755)",53010,De Lorimier / Logan,53010,,45.526331,-73.553387,,http://m.stm.info/fr/horaires/arrets/53010/bus,0,,,1,,,230.310237833202,5,2.311013858497,5,1132.66308829569
52895,52895,"(612667.9614712544, 5042630.20804073)",52895,De Lorimier / Ontario,52895,,45.528095,-73.557163,,http://m.stm.info/fr/horaires/arrets/52895/bus,0,,,1,,,223.003243780515,5,2.258420338898,5,1132.578684236579
52813,52813,"(612444.2949381195, 5042771.220224909)",52813,De Lorimier / de Rouen,52813,,45.529400,-73.559994,,http://m.stm.info/fr/horaires/arrets/52813/bus,0,,,1,,,216.387673435822,4,2.208167375798,5,1132.494280177467
52718,52718,"(612223.3555956088, 5042913.1779536)",52718,De Lorimier / Sherbrooke,52718,,45.530713,-73.562790,,http://m.stm.info/fr/horaires/arrets/52718/bus,0,,,1,,,210.301360023904,4,2.160107650864,5,0.0
52637,52637,"(612041.8421171539, 5043030.509572028)",52637,De Lorimier / Gauthier,52637,,45.531798,-73.565087,,http://m.stm.info/fr/horaires/arrets/52637/bus,0,,,1,,,211.269101959388,4,2.160273340987,5,1132.325472059243
52561,52561,"(611878.4440839315, 5043135.389333592)",52561,De Lorimier / Rachel,52561,,45.532768,-73.567155,,http://m.stm.info/fr/horaires/arrets/52561/bus,0,,,1,,,205.118222580192,4,2.114248774893,4,1132.24106800013
52456,52456,"(611654.4054864689, 5043277.422098522)",52456,De Lorimier / Marie-Anne,52456,,45.534082,-73.569991,,http://m.stm.info/fr/horaires/arrets/52456/bus,0,,,1,,,199.673022469461,4,2.070144403418,4,1132.156663941018
52380,52380,"(611477.2709201449, 5043391.291168922)",52380,De Lorimier / du Mont-Royal,52380,,45.535135,-73.572233,,http://m.stm.info/fr/horaires/arrets/52380/bus,0,,,1,,,194.636503217214,4,2.027842513234,4,1132.072259881905
52267,52267,"(611205.3413216317, 5043566.049582453)",52267,De Lorimier / Gilford,52267,,45.536751,-73.575675,,http://m.stm.info/fr/horaires/arrets/52267/bus,0,,,1,,,189.921738653495,4,1.987234819886,4,1131.987855822792
