fid,id,StopCode,location,stop_id,stop_name,stop_code,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,CenDeg,CatCenDeg,Clossnes,CatClossnes
"1","1000000000000000","53051","(613106.792630652, 5042150.013985396)","53051",Station Papineau (Dorion / Sainte-Catherine),"53051",,"45.523703","-73.551656",,http://m.stm.info/fr/horaires/arrets/53051/bus,"0",,,"1",,,0.000231481481,"1",2.024606276414,"4"
"2","1000000000000001","53045","(613110.8077788276, 5042347.458878286)","53045",De Lorimier / De Maisonneuve,"53045",,"45.525479","-73.551559",,http://m.stm.info/fr/horaires/arrets/53045/bus,"0",,,"1",,,0.000462962963,"3",2.366115352231,"5"
"3","1000000000000002","53010","(612966.3514979408, 5042439.539533755)","53010",De Lorimier / Logan,"53010",,"45.526331","-73.553387",,http://m.stm.info/fr/horaires/arrets/53010/bus,"0",,,"1",,,0.000231481481,"1",2.311013858497,"5"
"4","1000000000000003","52895","(612667.9614712544, 5042630.20804073)","52895",De Lorimier / Ontario,"52895",,"45.528095","-73.557163",,http://m.stm.info/fr/horaires/arrets/52895/bus,"0",,,"1",,,0.000231481481,"1",2.258420338898,"5"
"5","1000000000000004","52813","(612444.2949381195, 5042771.220224909)","52813",De Lorimier / de Rouen,"52813",,"45.529400","-73.559994",,http://m.stm.info/fr/horaires/arrets/52813/bus,"0",,,"1",,,0.000347222222,"2",2.208167375798,"5"
"6","1000000000000005","52718","(612223.3555956088, 5042913.1779536)","52718",De Lorimier / Sherbrooke,"52718",,"45.530713","-73.562790",,http://m.stm.info/fr/horaires/arrets/52718/bus,"0",,,"1",,,0.000231481481,"1",2.160107650864,"5"
"7","1000000000000006","52637","(612041.8421171539, 5043030.509572028)","52637",De Lorimier / Gauthier,"52637",,"45.531798","-73.565087",,http://m.stm.info/fr/horaires/arrets/52637/bus,"0",,,"1",,,0.000347222222,"2",2.160273340987,"5"
"8","1000000000000007","52561","(611878.4440839315, 5043135.389333592)","52561",De Lorimier / Rachel,"52561",,"45.532768","-73.567155",,http://m.stm.info/fr/horaires/arrets/52561/bus,"0",,,"1",,,0.000231481481,"1",2.114248774893,"4"
"9","1000000000000008","52456","(611654.4054864689, 5043277.422098522)","52456",De Lorimier / Marie-Anne,"52456",,"45.534082","-73.569991",,http://m.stm.info/fr/horaires/arrets/52456/bus,"0",,,"1",,,0.000231481481,"1",2.070144403418,"4"
"10","1000000000000009","52380","(611477.2709201449, 5043391.291168922)","52380",De Lorimier / du Mont-Royal,"52380",,"45.535135","-73.572233",,http://m.stm.info/fr/horaires/arrets/52380/bus,"0",,,"1",,,0.000231481481,"1",2.027842513234,"4"
"11","1000000000000010","52267","(611205.3413216317, 5043566.049582453)","52267",De Lorimier / Gilford,"52267",,"45.536751","-73.575675",,http://m.stm.info/fr/horaires/arrets/52267/bus,"0",,,"1",,,0.000347222222,"2",1.987234819886,"4"
"12","1000000000000011","52220","(611094.2009454835, 5043636.758729759)","52220",De Lorimier / Saint-Joseph,"52220",,"45.537405","-73.577082",,http://m.stm.info/fr/horaires/arrets/52220/bus,"0",,,"1",,,0.000231481481,"1",1.948333856021,"4"
"13","1000000000000012","52181","(611002.7199393059, 5043695.593454174)","52181",De Lorimier / Laurier,"52181",,"45.537949","-73.578240",,http://m.stm.info/fr/horaires/arrets/52181/bus,"0",,,"1",,,0.000231481481,"1",1.910926656791,"4"
"14","1000000000000013","52087","(610765.8348214519, 5043846.541970275)","52087",De Lorimier / Masson,"52087",,"45.539345","-73.581239",,http://m.stm.info/fr/horaires/arrets/52087/bus,"0",,,"1",,,0.000231481481,"1",1.874928804011,"4"
"15","1000000000000014","51953","(610366.5353755263, 5044103.323053937)","51953",De Lorimier / Holt,"51953",,"45.541719","-73.586294",,http://m.stm.info/fr/horaires/arrets/51953/bus,"0",,,"1",,,0.000231481481,"1",1.840262122931,"4"
"16","1000000000000015","51858","(610147.9685597931, 5044244.61481623)","51858",De Lorimier / Rosemont,"51858",,"45.543025","-73.589061",,http://m.stm.info/fr/horaires/arrets/51858/bus,"0",,,"1",,,0.000231481481,"1",1.80685411552,"4"
"17","1000000000000016","51824","(609994.0315529675, 5044343.595799015)","51824",De Lorimier / de Bellechasse,"51824",,"45.543940","-73.591010",,http://m.stm.info/fr/horaires/arrets/51824/bus,"0",,,"1",,,0.000231481481,"1",1.774637454378,"3"
