Zone agricole péri-urbaine,AA
Zone agricole,AB
Zone agricole particuliÃ¨re,AC
Zone résidentielle,R
Zone résidentielle de renouvellement,RR
Zone résidentielle unifamiliale,RU
Zone résidentielle de maisons mobiles,RM
Zone  sujette à un plan d'aménagement,RX
Zone commerciale de classe A,CA
Zone commerciale de classe B,CB
Zone commerciale de poste d`essence,CC
Zone commerciale de classe D,CD
Zone centre-ville,CV
Zone industrielle de classe A,IA
Zone industrielle de classe B,IB
Zone industrielle de classe C,IC
Zone de haute technologie,HT
Zone d'usages publics et semi-publics de classe A,PA
Zone d'usages publics et semi-publics de classe B,PB
Zone résidentielle unifamiliale,RA
Golf,B
Parc,C
Ã‰glise et Ã©cole,D
Traversier,E
