fid, reach
1,1343
2,4957
3,4779
4,7765
5,6951
6,3581
7,3282
8,3383
9,1127
10,2358
11,1536
12,1642
13,2275
14,2831
15,4265
16,5198
17,3129
18,4839
19,5226
20,6277
21,2808
22,1059
23,954
24,4078
25,2391
26,888
27,1343
28,0
29,1923
30,319
31,544
32,3122
33,2712
34,3295
35,2666
36,1615
37,3996
38,2732
39,1593
40,1022
41,1282
42,1720
43,2209
44,6600
45,8803
46,7285
47,4035
48,7639
49,7611
50,8884
51,5129
52,3095
53,2119
54,0
55,0
56,0
57,1
58,5025
59,1813
60,1317
61,897
62,3549
63,1908
64,3473
65,5515
66,6155
67,5793
68,5025
69,1162
70,1387
71,2289
72,1930
73,1762
74,1740
75,1802
76,2064
77,1989
78,1912
79,1480
80,1340
81,2076
82,1976
83,2067
84,1904
85,1703
86,1520
87,1471
88,1403
89,1223
90,884
91,979
92,1152
93,1498
94,1874
95,1576
96,1851
97,1669
98,0
99,578
100,0
101,21
102,25
103,32
104,38
105,49
106,50
107,53
108,38
109,12
110,1
111,3
112,3
113,2
114,798
115,901
116,1706
117,1911
118,2013
119,2148
120,1574
121,2428
122,2071
123,1
124,1
125,181
126,214
127,177
128,169
129,333
130,292
131,456
132,689
133,440
134,227
135,164
136,137
137,156
138,183
139,111
140,49
141,24
142,49
143,313
144,129
145,53
146,195
147,436
148,597
149,234
150,182
151,326
152,1285
153,1874
154,1992
155,1926
156,1613
157,1413
158,1006
159,771
160,664
161,390
162,115
163,553
164,372
165,1688
166,955
167,970
168,1173
169,1373
170,1241
171,2474
172,2204
173,2226
174,233
175,246
176,336
177,421
178,475
179,561
180,490
181,414
182,425
183,511
184,611
185,422
186,99
187,34
188,27
189,11
190,8
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,420
204,622
205,0
206,0
207,0
208,0
209,890
210,622
211,245
212,848
213,637
214,765
215,727
216,1071
217,723
218,841
219,971
220,1025
221,910
222,0
223,119
224,0
225,21
226,661
227,588
228,391
229,631
230,724
231,828
232,976
233,872
234,0
235,1629
236,1867
237,2099
238,1643
239,1567
240,1637
241,1897
242,1910
243,1885
244,1730
245,1160
246,1079
247,1113
248,971
249,521
250,495
251,579
252,1069
253,1403
254,832
255,616
256,556
257,731
258,921
259,988
260,919
261,1066
262,926
263,746
264,674
265,455
266,886
267,1176
268,1033
269,677
270,623
271,278
272,272
273,297
274,555
275,625
276,462
277,135
278,33
279,1049
280,130
281,142
282,122
283,84
284,104
285,294
286,792
287,725
288,139
289,94
290,337
291,525
292,526
293,665
294,100
295,117
296,65
297,689
298,901
299,864
300,732
301,8
302,5
303,6
304,72
305,440
306,684
307,398
308,101
309,10
310,13
311,93
312,263
313,259
314,66
315,8
316,6
317,321
318,369
319,359
320,301
321,449
322,605
323,648
324,749
325,645
326,747
327,760
328,747
329,859
330,504
331,6
332,104
333,758
334,789
335,878
336,773
337,760
338,10
339,0
340,0
341,0
342,0
343,0
344,0
345,1178
346,661
347,586
348,783
349,1232
350,2337
351,1691
352,1815
353,1552
354,663
355,1011
356,0
357,1043
358,1169
359,895
360,551
361,183
362,214
363,48
364,106
365,239
366,319
367,683
368,828
369,1338
370,1797
371,1138
372,714
373,517
374,967
375,814
376,1524
377,691
378,686
379,948
380,938
381,913
382,792
383,1059
384,1177
385,1235
386,1101
387,1137
388,795
389,653
390,841
391,1054
392,539
393,467
394,490
395,411
396,529
397,612
398,504
399,412
400,596
401,592
402,1975
403,2254
404,2232
405,2083
406,2232
407,1534
408,822
409,233
410,1052
411,1428
412,1118
413,813
414,316
415,584
416,1105
417,916
418,1026
419,569
420,523
421,332
422,712
423,900
424,831
425,566
426,416
427,374
428,379
429,409
430,321
431,248
432,360
433,346
434,487
435,516
436,633
437,753
438,774
439,847
440,1117
441,30
442,89
443,113
444,71
445,44
446,50
447,42
448,45
449,32
450,38
451,34
452,42
453,24
454,12
455,14
456,12
457,24
458,35
459,14
460,508
461,40
462,27
463,1205
464,1727
465,1917
466,2069
467,1863
468,2344
469,2266
470,2221
471,1847
472,1061
473,1165
474,1237
475,1711
476,1642
477,1061
478,2114
479,2006
480,1556
481,2416
482,2209
483,2033
484,1636
485,1747
486,2268
487,2248
488,2482
489,1061
490,1297
491,1271
492,1220
493,0
494,794
495,2266
496,837
497,1633
498,1615
499,1768
500,1804
501,1873
502,1589
503,1338
504,846
505,674
506,807
507,873
508,791
509,679
510,905
511,1068
512,1145
513,812
514,3
515,1738
516,631
517,2653
518,2726
519,1333
520,1193
521,726
522,1138
523,950
524,799
525,896
526,648
527,865
528,1061
529,1187
530,1233
531,1071
532,1043
533,688
534,658
535,561
536,934
537,834
538,582
539,733
540,434
541,230
542,458
543,427
544,407
545,264
546,261
547,358
548,484
549,594
550,148
551,77
552,378
553,408
554,512
555,573
556,855
557,640
558,395
559,522
560,364
561,286
562,632
563,253
564,219
565,283
566,312
567,166
568,68
569,529
570,763
571,566
572,689
573,875
574,1158
575,1030
576,815
577,575
578,328
579,617
580,344
581,47
582,53
583,454
584,601
585,794
586,754
587,594
588,422
589,618
590,869
591,467
592,67
593,37
594,64
595,128
596,512
597,478
598,171
599,447
600,402
601,211
602,940
603,872
604,604
605,588
606,321
607,160
608,116
609,70
610,35
611,78
612,187
613,261
614,202
615,362
616,863
617,55
618,55
619,108
620,258
621,346
622,807
623,1013
624,812
625,543
626,314
627,569
628,1162
629,1616
630,1655
631,1628
632,1384
633,1275
634,1553
635,1737
636,1627
637,1452
638,770
639,545
640,716
641,1275
642,1621
643,1522
644,1048
645,373
646,432
647,1070
648,1316
649,1127
650,659
651,675
652,441
653,570
654,537
655,374
656,392
657,334
658,200
659,240
660,156
661,238
662,254
663,345
664,512
665,246
666,482
667,378
668,660
669,462
670,527
671,1573
672,1597
673,1165
674,640
675,44
676,12
677,168
678,534
679,98
680,640
681,729
682,1031
683,1331
684,476
685,1503
686,761
687,1094
688,178
689,81
690,45
691,274
692,218
693,288
694,1281
695,1845
696,1732
697,1621
698,1103
699,959
700,984
701,2045
702,2075
703,1249
704,1496
705,1224
706,1569
707,1254
708,715
709,449
710,896
711,1030
712,984
713,774
714,282
715,414
716,750
717,2
718,83
719,992
720,1289
721,1372
722,1157
723,538
724,271
725,723
726,758
727,849
728,619
729,623
730,600
731,467
732,187
733,494
734,479
735,127
736,219
737,537
738,502
739,288
740,277
741,95
742,64
743,43
744,52
745,9
746,27
747,26
748,130
749,50
750,18
751,32
752,36
753,52
754,42
755,24
756,43
757,48
758,17
759,8
760,290
761,216
762,37
763,11
764,555
765,474
766,292
767,16
768,28
769,45
770,69
771,53
772,64
773,53
774,28
775,5
776,21
777,19
778,6
779,50
780,75
781,86
782,30
783,4
784,16
785,45
786,180
787,231
788,34
789,114
790,151
791,145
792,356
793,203
794,268
795,357
796,322
797,154
798,113
799,55
800,182
801,0
802,7
803,42
804,62
805,71
806,3
807,91
808,46
809,906
810,624
811,1370
812,1308
813,1023
814,855
815,833
816,901
817,852
818,807
819,960
820,1194
821,1030
822,889
823,1050
824,466
825,508
826,739
827,1165
828,1545
829,1284
830,1065
831,835
832,1004
833,958
834,763
835,0
836,1632
837,1548
838,1102
839,732
840,774
841,420
842,499
843,577
844,565
845,579
846,732
847,1555
848,1322
849,342
850,785
851,588
852,751
853,815
854,0
855,1029
856,626
857,698
858,690
859,422
860,384
861,380
862,276
863,266
864,480
865,608
866,500
867,639
868,271
869,174
870,181
871,222
872,312
873,567
874,573
875,849
876,1036
